TIPO;NOMBRE;SHAPE_AREA;SHAPE_LEN
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION RIO TUNJUELITO;127928,38833600000;4349,38565387000
Area Forestal Distrital;AREA FORESTAL DEL PILAR Y EL SUMAPAZ;16244462,62250000000;74634,70428830000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO CUCHILLA DE LAS ANIMAS;870697,18427100000;4841,91364195000
Area Forestal Distrital;SIERRAS DEL CHICO;67622,07740280000;1857,42386288000
Area Forestal Distrital;AREA FORESTAL SAN JUAN;261679,13994900000;2734,69478731000
Area Forestal Distrital;AREA FORESTAL CERROS DE SUBA;39071,34604960000;1014,47901483000
Area Forestal Distrital;AREA FORESTAL CERROS DE SUBA;72580,18720920000;1360,18800498000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO CUCHILLA LAS ANIMAS;204059,99618100000;1743,72647361000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION LA REQUILINA;791380,30194300000;4032,14936830000
Area Forestal Distrital;AREA FORESTAL LAGUNA EL TUNJO;19776,76653640000;583,02746821600
Area Forestal Distrital;AREA FORESTAL LAS ABRAS;2666836,17019000000;9218,75588088000
Area Forestal Distrital;AREA FORESTAL ENCENILLALES DE PASQUILLA;416070,99422600000;3404,84767652000
Area Forestal Distrital;AREA FORESTAL DE PARAMO LAS MERCEDES-PASQUILLA;18736173,01570000000;39351,50845270000
Area Forestal Distrital;AREA FORESTAL DEL PILAR Y EL SUMAPAZ;29820476,84460000000;55460,78217100000
Area Forestal Distrital;AREA FORESTAL  DE RESTAURACION CANTERAS DEL BOQUERON;507486,34023100000;3690,02899952000
Area Forestal Distrital;AREA FORESTAL DE SAN ANTONIO;103446,87782600000;1266,41245437000
Area Forestal Distrital;AREA FORESTAL DE SUBPARAMO EL TUSTE;101225,82372600000;1269,71922371000
Area Forestal Distrital;AREA FORESTAL DISTRITAL EL CARRACO;703938,47087900000;4915,98129784000
Area Forestal Distrital;AREA FORESTAL ALTOS SAN JUAN;607972,29445200000;4168,38150998000
Area Forestal Distrital;AREA FORESTAL  DE RESTAURACION SUBPARAMO PARADA DEL VIENTO;2913091,07948000000;9598,02414220000
Area Forestal Distrital;AREA FORESTAL DE PARAMO PUENTE PIEDRA;6218184,96961000000;11975,85712710000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO DEL SALITRE;69358,76953850000;1008,23422957000
Area Forestal Distrital;AREA FORESTAL SAN JUAN;318187,49830100000;2046,88643120000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO DEL SALITRE;173173,00720300000;1701,83934072000
Area Forestal Distrital;AREA FORESTAL  DE RESTAURACION DE SANTA BARBARA;1324713,55238000000;6093,89235871000
Area Forestal Distrital;AREA FORESTAL ENCENILLALES DEL MOCHUELO;2539252,18232000000;12050,44542320000
Area Forestal Distrital;AREA FORESTAL  ALTO RIO CHOCHAL;825180,06988600000;4753,83609054000
Area Forestal Distrital;AREA FORESTAL LAS ABRAS;537369,52429300000;4208,39448047000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION RIO CURUBITAL;3156957,75046000000;20097,69421460000
Area Forestal Distrital;AREA FORESTAL DE  RESTAURACION SUBPARAMO DE OLARTE;4286292,82287000000;8777,89159381000
Parque Ecologico Distrital de Humedal;HUMEDAL LA ISLA;77525,06642920000;1865,14042000000
Parque Ecologico Distrital de Humedal;HUMEDAL DEL MEANDRO DEL SAY;273963,37337700000;10512,07385790000
Parque Ecologico Distrital de Humedal;HUMEDAL SALITRE;34138,30467630000;770,01951730300
Parque Ecologico Distrital de Humedal;HUMEDAL EL TUNJO;332079,80428600000;3698,33517764000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION ENCENILLALES DE PASQUILLA;1940811,63556000000;7553,63001208000
Area Forestal Distrital;AREA FORESTAL LAS VEGAS;363732,04506800000;2622,94106891000
Area Forestal Distrital;AREA FORESTAL DE SUBPARAMO LA REGADERA;1457882,62967000000;5512,19620939000
Area Forestal Distrital;AREA FORESTAL DE PARAMO LOS SALITRES;7747247,52482000000;24813,66443200000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO DEL SALITRE;148713,24671400000;1524,24687302000
Area Forestal Distrital;AREA FORESTAL DE SUBPARAMO EL ORO;692156,60589300000;4576,86564263000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION MICROCUENCA PASO COLORADO;4678264,85834000000;14025,85218580000
Area Forestal Distrital;AREA FORESTAL DE PARAMO ALTO CHISACA;16795150,58070000000;30804,62040730000
Area Forestal Distrital;AREA FORESTAL EL ZARPAZO;24314859,06710000000;52574,60952420000
Area Forestal Distrital;AREA FORESTAL  ALTO RIO CHOCHAL;460138,00185300000;3828,85764597000
Area Forestal Distrital;AREA FORESTAL QUEBRADA EL SALITRE;501111,75506000000;3023,61742496000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO HOYA HONDA;347557,72846700000;2493,16577330000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION LA REQUILINA;218511,90953300000;2692,43863101000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION DE PIEDRA GORDA;4059102,01286000000;14596,81072790000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION AGUADITA-LA REGADERA;83793,50398380000;1181,16674139000
Area Forestal Distrital;AREA FORESTAL  DE RESTAURACION DE SANTA BARBARA;579804,40429800000;4133,52542320000
Parque Ecologico Distrital de Monta??a;ENTRE NUBES CUCHILLA EL GAVILAN;1842903,98016000000;11231,81189790000
Parque Ecologico Distrital de Monta??a;PARQUE ECOLOGICO DISTRITAL PENA BLANCA;669929,91015300000;7054,83234726000
Parque Ecologico Distrital de Monta??a;ENTRE NUBES CUCHILLA GUACAMAYAS;412464,60110600000;3994,64259937000
Parque Ecologico Distrital de Monta??a;PARQUE ECOLOGICO RECREACIONAL LA REGADERA;6325597,85361000000;24260,58851430000
Parque Ecologico Distrital de Monta??a;ENTRE NUBES CERRO JUAN REY;4014311,77823000000;15217,04984430000
Parque Ecologico Distrital de Monta??a;CERRO DE TORCA;220299,53629100000;1889,76538508000
Parque Ecologico Distrital de Monta??a;CERRO DE LA CONEJERA;1628653,63556000000;7020,85985455000
Parque Ecologico Distrital de Humedal;HUMEDAL DE TORCA;302654,02959600000;3950,74379568000
Parque Ecologico Distrital de Humedal;HUMEDAL DE SANTA MARIA DEL LAGO;108613,47763400000;1647,95376819000
Parque Ecologico Distrital de Humedal;HUMEDAL DE LA VACA;57299,26277120000;1588,51563580000
Parque Ecologico Distrital de Humedal;HUMEDAL DE LA VACA;22452,82527500000;777,67403442400
Parque Ecologico Distrital de Humedal;HUMEDAL DE JUAN AMARILLO O TIBABUYES;2227583,69602000000;14333,42868600000
Parque Ecologico Distrital de Humedal;HUMEDAL DE JABOQUE;1480008,78427000000;13390,36860770000
Parque Ecologico Distrital de Humedal;HUMEDAL DE GUAYMARAL;496578,57329800000;5466,40777114000
Parque Ecologico Distrital de Humedal;HUMEDAL DEL BURRO;188388,31616700000;3070,21689076000
Parque Ecologico Distrital de Humedal;HUMEDAL DE TECHO;116697,50564300000;1672,94727120000
Parque Ecologico Distrital de Humedal;HUMEDAL DE CORDOBA Y NIZA;405137,71565700000;5946,12739729000
Parque Ecologico Distrital de Humedal;HUMEDAL DE LA CONEJERA;588878,17398100000;8785,96704286000
Parque Ecologico Distrital de Humedal;HUMEDAL DE CAPELLANIA O LA COFRADIA;270329,81928500000;3966,29209185000
Parque Ecologico Distrital de Humedal;HUMEDAL DE TIBANICA;216245,27167400000;2613,04690736000
Parque Nacional Natural;SUMAPAZ;465179919,28400000000;305956,62716900000
Reserva Forestal Protectora;RESERVA FORESTAL PROTECTORA BOSQUE ORIENTAL DE BOGOTA;131540393,14400000000;135644,99413400000
Santuario Distrital de Fauna y Flora;BOSQUE DE LAS MERCEDES;469288,05700600000;3429,41490802000
Santuario Distrital de Fauna y Flora;SANTUARIO DE FAUNA Y FLORA PANTANOS COLGANTES;10732506,61240000000;14770,50665500000
Santuario Distrital de Fauna y Flora;SANTUARIO DE FAUNA Y FLORA LAGUNAS DE BOCAGRANDE;1961259,34425000000;7177,02809793000
Area Forestal Distrital;AREA FORESTAL BAJO RIO GALLO;4061417,75917000000;14654,58788430000
Area Forestal Distrital;AREA FORESTAL ALTO RIO CHOCHAL;140761,14900000000;1354,30666330000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION AGUADITA-LA REGADERA;1897956,04935000000;13777,23824940000
Area Forestal Distrital;AREA FORESTAL QUEBRADA EL SALITRE;1008899,01982000000;5441,48328455000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO QUEBRADA CUARTAS;472473,99348600000;3211,32568209000
Area Forestal Distrital;AREA FORESTAL AREA DE RESTAURACION LAS VEGAS;516980,55393000000;3226,91629767000
Area Forestal Distrital;AREA FORESTAL ALTO RIO CHOCHAL;167625,11531800000;1480,96927979000
Area Forestal Distrital;AREA FORESTAL ENCENILLALES DE PASQUILLA;197131,85630400000;1832,17072296000
Area Forestal Distrital;AREA FORESTAL QUEBRADA EL SALITRE;279454,66041900000;2559,08564388000
Area Forestal Distrital;AREA FORESTAL LAS VEGAS;551445,81473500000;4009,73724627000
Area Forestal Distrital;AREA FORESTAL EL ISTMO;109784,69957400000;1253,34781680000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO CUCHILLA DE LAS ANIMAS;716612,10582500000;4564,45318091000
Area Forestal Distrital;AREA FORESTAL DE PARAMO DE ANDES;2875946,84365000000;8516,84106835000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION YOMASA ALTA;96175,33325860000;2263,91179585000
Area Forestal Distrital;AREA FORESTAL  DE RESTAURACION LOS ARBOLOCOS-CHIGUAZA;1943414,80389000000;6937,17705020000
Area Forestal Distrital;AREA FORESTAL PARAMO ALTO RIO GALLO;2243334,94466000000;7494,90001122000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO DEL SALITRE;144790,61948400000;1399,53422114000
Area Forestal Distrital;AREA FORESTAL ENCENILLALES DE PASQUILLA;1041126,59436000000;6302,87627040000
Area Forestal Distrital;AREA FORESTAL CORREDOR DE RESTAURACION SANTA LIBRADA BOLONIA;90501,32912670000;1332,99591438000
Area Forestal Distrital;AREA FORESTAL SUBPARAMO CHASCALES;384163,55576800000;2898,89676038000
Area Forestal Distrital;AREA FORESTAL SAN JUAN;1277624,89139000000;7554,54728634000
Area Forestal Distrital;AREA FORESTAL QUEBRADA HONDA;1641581,79400000000;9896,11160302000
Area Forestal Distrital;AREA FORESTAL LOS SOCHES;1874579,34541000000;7318,91903308000
Area Forestal Distrital;SIERRAS DEL CHICO;225560,28545800000;2123,18324404000
